"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_gap"
2.25500675155566e-61,3.55128986464156,0.322,0.039,1.22879827905771e-56,"6","GDF10",0.283
7.15338165515928e-59,3.30516874226182,0.333,0.065,3.89802073152939e-54,"6","ELN",0.268
4.30217018034038e-37,3.2753416997937,0.237,0.046,2.34433857467108e-32,"6","MGST1",0.191
9.57137985758758e-31,3.2155755866134,0.187,0.028,5.21563631199663e-26,"6","ZBTB16",0.159
9.53656879829817e-29,3.21492653333599,0.187,0.033,5.19666706956864e-24,"6","CNTN1",0.154
4.83836870439355e-35,3.159465415391,0.256,0.062,2.63652387439813e-30,"6","CADM3",0.194
3.19602586206529e-85,3.10514903020148,0.572,0.164,1.74157841275662e-80,"7","CHI3L2",0.408
7.05215383951144e-31,2.54938424547612,0.219,0.042,3.84285967022657e-26,"7","ADAMDEC1",0.177
1.07834393344971e-33,2.46631235696456,0.284,0.074,5.87611176215414e-29,"7","TDO2",0.21
7.62586878262311e-60,2.42162276469092,0.463,0.135,4.15548841702698e-55,"7","MT1F",0.328
1.13863955696241e-120,2.24286740206666,0.877,0.462,6.20467467379958e-116,"7","CXCL2",0.415
2.92595686954875e-22,2.20242758759569,0.337,0.161,1.59441241735451e-17,"7","CXCL3",0.176
4.08222296633761e-51,2.17898021749388,0.499,0.201,2.22448493881669e-46,"7","G0S2",0.298
2.55150028834513e-34,1.9849937003605,0.384,0.149,1.39036353712503e-29,"7","WFDC2",0.235
5.29800971313845e-33,1.89630297531058,0.332,0.109,2.88699145288341e-28,"7","TSPAN15",0.223
8.01755874822505e-29,1.89017451291957,0.263,0.074,4.3689281130828e-24,"7","RBP5",0.189
2.84825756904592e-94,1.82940867795068,0.742,0.276,1.55207251452451e-89,"7","CCL19",0.466
9.77387024964748e-151,1.81501683430243,0.949,0.522,5.32597737643791e-146,"7","APOE",0.427
1.56974273840295e-38,1.7765998214594,0.525,0.233,8.55384213010534e-34,"7","IL6",0.292
7.9546915963601e-24,1.71321646566302,0.223,0.072,4.33467054468854e-19,"7","COX4I2",0.151
6.36015383895038e-27,1.57262076293992,0.407,0.189,3.46577502992084e-22,"7","PHLDA2",0.218
3.9465447376393e-22,1.5675880765641,0.302,0.107,2.15055115843441e-17,"7","ADRA2A",0.195
4.27029779381636e-31,1.56717871468471,0.42,0.18,2.32697067380641e-26,"7","LBP",0.24
8.14880543784971e-111,1.5503663293996,0.923,0.594,4.44044705919306e-106,"7","PHLDA1",0.329
4.82166613528351e-49,1.51462661248629,0.677,0.403,2.62742231043869e-44,"7","ID4",0.274
1.86461814523462e-57,1.51152598980306,0.631,0.311,1.01606771970125e-52,"7","CTSH",0.32
2.32907307543725e-29,1.46877708856974,0.385,0.159,1.26915850026726e-24,"7","CD24",0.226
5.84142930206897e-84,1.46675025902829,0.919,0.524,3.18311165528342e-79,"7","CXCL13",0.395
7.01781132664505e-77,1.46259843925878,0.931,0.7,3.82414574811542e-72,"7","NFKBIA",0.231
2.22361128552646e-65,1.40344560881946,0.849,0.63,1.21169026170908e-60,"7","CYR61",0.219
1.33805987515739e-21,1.29875372591598,0.375,0.197,7.29135587170765e-17,"7","CD40",0.178
3.92293484375315e-42,1.28045707616113,0.747,0.512,2.13768565505797e-37,"7","CLU",0.235
3.09701780337175e-19,1.2643509092653,0.401,0.241,1.68762694141334e-14,"7","PDPN",0.16
