"sample","group","dataset","cohort","state_final","n_cells","AGT_mean","AGT_positive_fraction","C3_mean","C3_positive_fraction","ECM_TGFB_score","C3_CD44_score"
"GSM5177041","NC","GSE164241","GSM517_cohort","Unassigned_Fib",7,0,0,0.726139281120319,0.428571428571429,0.862407380686815,0.502018155009224
"GSM5177042","PD","GSE164241","GSM517_cohort","Activated_Fib",358,0.0178433861429313,0.0139664804469274,0.816113922705802,0.502793296089385,1.27711486946417,0.837280106569104
"GSM5177042","PD","GSE164241","GSM517_cohort","Adventitial_Fib",7,0.344917362783479,0.142857142857143,0.26184536310308,0.142857142857143,0.789856957393013,0.254943817702675
"GSM5177042","PD","GSE164241","GSM517_cohort","ECM_Fib",64,0.0456634123945562,0.03125,0.663308724053363,0.390625,1.36055546884494,0.867665219722201
"GSM5177042","PD","GSE164241","GSM517_cohort","Inflammatory_Fib",9,0,0,0.968121547291963,0.555555555555556,1.18111045095037,0.776235870885701
"GSM5177043","PD","GSE164241","GSM517_cohort","Activated_Fib",1098,0.0140423912019934,0.0109289617486339,0.777632951769464,0.552823315118397,1.18659232780771,0.92827893769808
"GSM5177043","PD","GSE164241","GSM517_cohort","Adventitial_Fib",123,0.103522535131375,0.0569105691056911,1.58842997345231,0.780487804878049,0.78369110032685,0.53306596100703
"GSM5177043","PD","GSE164241","GSM517_cohort","ECM_Fib",112,0.111955420933815,0.0892857142857143,0.229698377288765,0.160714285714286,1.63095245683176,1.03643534033935
"GSM5177043","PD","GSE164241","GSM517_cohort","Inflammatory_Fib",2,0,0,0,0,1.06761587968273,0.71054895133341
"GSM5177043","PD","GSE164241","GSM517_cohort","PI16_Fib",6,0,0,1.6089812880249,0.666666666666667,0.155764778583759,0.132016313591036
"GSM5177043","PD","GSE164241","GSM517_cohort","Unassigned_Fib",1,0,0,0,0,0.68629683798109,0.335053720806809
"GSM5177044","PD","GSE164241","GSM517_cohort","Activated_Fib",455,0.0220365470978466,0.021978021978022,0.915104290637231,0.617582417582418,1.26312944280319,1.06383101645943
"GSM5177044","PD","GSE164241","GSM517_cohort","ECM_Fib",31,0,0,0.693799039753749,0.387096774193548,1.47846987423324,1.0614892863432
"GSM5177044","PD","GSE164241","GSM517_cohort","Inflammatory_Fib",6,0,0,0.152830214633182,0.166666666666667,1.54469676265917,0.897063820836249
"GSM5220920","NC","GSE171213","GSM522_cohort","Activated_Fib",6,0,0,0.240448226311338,0.166666666666667,1.89948138754914,1.3719257443921
"GSM5220920","NC","GSE171213","GSM522_cohort","Adventitial_Fib",4,0,0,0.554073547627218,0.25,1.29759112974718,0.596489889160892
"GSM5220920","NC","GSE171213","GSM522_cohort","ECM_Fib",117,0,0,0.758003710424875,0.376068376068376,1.59212313212305,1.03209284629183
"GSM5220921","NC","GSE171213","GSM522_cohort","Activated_Fib",5,0,0,0,0,1.6832056835969,1.41604117325553
"GSM5220921","NC","GSE171213","GSM522_cohort","Adventitial_Fib",8,0,0,1.09443925396032,0.375,0.787175187485571,0.787786580958644
"GSM5220921","NC","GSE171213","GSM522_cohort","ECM_Fib",27,0,0,0.498390801590356,0.222222222222222,1.35768070333635,1.33946017381729
"GSM5220922","NC","GSE171213","GSM522_cohort","Activated_Fib",9,0,0,1.0452736010022,0.444444444444444,2.16067528739925,1.55759010835847
"GSM5220922","NC","GSE171213","GSM522_cohort","ECM_Fib",314,0.0164420201486506,0.0254777070063694,1.61457128737738,0.786624203821656,2.05835884381579,1.37034574714828
"GSM5220923","NC","GSE171213","GSM522_cohort","Adventitial_Fib",3,0,0,0,0,1.01797944294029,0.429625828349688
"GSM5220923","NC","GSE171213","GSM522_cohort","ECM_Fib",41,0,0,0.0353104591727185,0.024390243902439,1.50312181838171,0.850821646172468
"GSM5220923","NC","GSE171213","GSM522_cohort","PI16_Fib",66,0,0,2.1570389586519,0.863636363636364,1.04521465634112,0.790176071809372
"GSM5220924","PD","GSE171213","GSM522_cohort","Activated_Fib",4,0,0,0,0,1.30271303223129,1.26980371552905
"GSM5220924","PD","GSE171213","GSM522_cohort","ECM_Fib",264,0.00996668365234189,0.00757575757575758,0.876085355963618,0.549242424242424,1.78048087180555,1.2174931468088
"GSM5220925","PD","GSE171213","GSM522_cohort","Activated_Fib",6,0,0,1.12009840562885,0.5,1.96867402860118,1.8502308622532
"GSM5220925","PD","GSE171213","GSM522_cohort","Adventitial_Fib",1,0,0,0,0,1.53528692906988,0.371643215132818
"GSM5220925","PD","GSE171213","GSM522_cohort","ECM_Fib",136,0.00661521349758637,0.00735294117647059,1.22144723895537,0.713235294117647,1.83733079118608,1.59636649457738
"GSM5220926","PD","GSE171213","GSM522_cohort","Activated_Fib",6,0,0,0,0,2.13039621760173,1.45261597527844
"GSM5220926","PD","GSE171213","GSM522_cohort","Adventitial_Fib",11,0,0,0.85047627705884,0.454545454545455,1.3815217982074,0.675446723078811
"GSM5220926","PD","GSE171213","GSM522_cohort","ECM_Fib",84,0.0627923615007102,0.0476190476190476,0.709810119260512,0.5,2.08606794652774,1.36499978791761
"GSM5220926","PD","GSE171213","GSM522_cohort","PI16_Fib",71,0.0396476665635439,0.028169014084507,1.98224246741339,0.830985915492958,1.06484117924336,0.772508162136583
"GSM5220927","PD","GSE171213","GSM522_cohort","ECM_Fib",2,0,0,0,0,1.7941044877609,1.18350419192725
"GSM5220927","PD","GSE171213","GSM522_cohort","PI16_Fib",4,0,0,1.70483574921374,0.75,1.05898024065795,0.703406609428098
"GSM5220928","PD","GSE171213","GSM522_cohort","Activated_Fib",3,0,0,0,0,1.86939876559117,1.05530201548592
"GSM5220928","PD","GSE171213","GSM522_cohort","Adventitial_Fib",3,0,0,2.85529891810747,1,1.45033226005474,1.06964304409358
"GSM5220928","PD","GSE171213","GSM522_cohort","ECM_Fib",69,0,0,0.3705732897158,0.304347826086957,2.14859128824629,1.25602858086537
"GSM5220928","PD","GSE171213","GSM522_cohort","PI16_Fib",3,0,0,3.13882813427485,1,1.16676622434534,1.03685394783051
