"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_gap"
4.7601792662994e-42,1.03003314939077,0.507,0.189,2.59391688579187e-37,"0","AFF4",0.318
6.99717353074272e-42,1.38968154835201,0.383,0.104,3.81289980037232e-37,"0","PLK3",0.279
7.34586361800374e-42,0.419774585654328,0.994,0.98,4.0029080027226e-37,"0","EEF1A1",0.014
7.69705652185055e-42,1.21792196025128,0.39,0.122,4.1942800398868e-37,"0","ETS1",0.268
8.14840154333367e-42,0.872370534793824,0.573,0.26,4.44022696899338e-37,"0","BASP1",0.313
9.057309406624e-42,1.64592371170336,0.415,0.111,4.93550904185755e-37,"0","GLIS3",0.304
9.31231499988389e-42,0.769938576882484,0.826,0.482,5.07446668973673e-37,"0","DNAJA1",0.344
1.00031077530987e-41,0.613256326094866,0.832,0.55,5.45089347681853e-37,"0","IGKC",0.282
1.00180824550937e-41,1.33761122384368,0.504,0.192,5.45905349142965e-37,"0","ABL2",0.312
1.09837848622737e-41,0.543679223910829,0.973,0.851,5.98528404715017e-37,"0","RPL30",0.122
1.43142014390218e-41,0.646781319796252,0.712,0.365,7.80009464815174e-37,"0","LMAN1",0.347
1.77788048429082e-41,0.907864015737797,0.553,0.226,9.68802633499753e-37,"0","CFLAR",0.327
2.48105574229719e-41,0.675503425037123,0.805,0.478,1.35197689509259e-36,"0","RRBP1",0.327
2.65083449240908e-41,0.851539711192681,0.598,0.255,1.44449273160356e-36,"0","LOXL2",0.343
4.47110346367637e-41,0.946056257448177,0.671,0.339,2.43639369942653e-36,"0","FILIP1L",0.332
5.14654943351168e-41,1.31723648916703,0.336,0.092,2.80445771730918e-36,"0","ATP13A3",0.244
5.27485527824639e-41,1.35279127722333,0.377,0.121,2.87437413822202e-36,"0","FAM107B",0.256
6.52391585585878e-41,0.514558396645892,0.97,0.866,3.55501222817457e-36,"0","ACTG1",0.104
7.45463269570132e-41,1.02391658868135,0.528,0.206,4.06217844854156e-36,"0","H1FX",0.322
1.06469657095298e-40,1.52277389198365,0.273,0.065,5.80174455443697e-36,"0","RPS6KA2",0.208
1.58694938826675e-40,1.13714288090689,0.5,0.16,8.64760460654319e-36,"0","BOD1L1",0.34
1.88324274826617e-40,1.52089344937793,0.299,0.068,1.0262166383852e-35,"0","FOXC1",0.231
2.37808516529169e-40,0.823257160070713,0.492,0.207,1.29586616827075e-35,"0","HNRNPAB",0.285
4.59839490474743e-40,2.19871123660493,0.273,0.048,2.50575735149497e-35,"0","DDX3Y",0.225
5.28790883441873e-40,1.15817956266591,0.606,0.297,2.88148728205145e-35,"0","CXCL1",0.309
5.40509831251158e-40,1.27715749512525,0.415,0.128,2.94534617245381e-35,"0","TNS3",0.287
