"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct_gap"
5.4138901488033e-32,6.59855572907333,0.179,0.012,2.9501370198859e-27,"9","GNLY",0.167
2.13886648421147e-51,6.55679595351997,0.22,0.002,1.16551112457652e-46,"9","GZMM",0.218
2.33204671464621e-94,6.54622683181261,0.407,0.011,1.27077889574501e-89,"9","NKG7",0.396
2.64502807381961e-90,6.48031632115634,0.429,0.037,1.44132869798578e-85,"9","CCL4",0.392
9.07929265408929e-50,6.34904641486481,0.214,0.004,4.94748815306633e-45,"9","CD8A",0.21
4.9761984567822e-80,6.23787724707617,0.359,0.008,2.71163006306976e-75,"9","CST7",0.351
7.05320333919682e-35,6.23785195543016,0.153,0.003,3.84343156359513e-30,"9","GZMH",0.15
6.6702908767876e-76,6.21522254326689,0.342,0.009,3.6347749045791e-71,"9","TRBC1",0.333
1.8093928290585e-62,6.21513547073824,0.272,0.007,9.85974340410559e-58,"9","KLRB1",0.265
3.10937670377389e-132,6.14610937843283,0.556,0.014,1.69436155342047e-127,"9","TRAC",0.542
1.2378801729251e-168,6.12832127813897,0.678,0.021,6.74545663830348e-164,"9","PTPRC",0.657
1.92862127299853e-92,6.06298886552216,0.39,0.006,1.05094430408236e-87,"9","FYB",0.384
2.08856362470097e-38,6.04151835817069,0.174,0.004,1.13810009037205e-33,"9","CTSW",0.17
2.19653432505502e-121,6.02478139050432,0.519,0.017,1.19693548440898e-116,"9","TRBC2",0.502
4.97156651493813e-85,6.02420920577331,0.377,0.008,2.70910602532009e-80,"9","CD3E",0.369
8.45690976969875e-36,6.02082720491234,0.153,0.003,4.60833927170425e-31,"9","ICOS",0.15
1.69197109060963e-41,5.97050885449506,0.176,0.004,9.21988886695002e-37,"9","SKAP1",0.172
8.63290098342045e-65,5.96965357832737,0.283,0.007,4.70424040388547e-60,"9","SPOCK2",0.276
4.3043493643645e-123,5.95059646563951,0.51,0.013,2.3455260556295e-118,"9","HCST",0.497
1.61926314716689e-40,5.92770114128777,0.187,0.003,8.82368874154184e-36,"9","TIGIT",0.184
1.67525851727686e-38,5.89673831568805,0.174,0.004,9.12881871234505e-34,"9","IL2RB",0.17
5.02793388713811e-44,5.89488714939833,0.205,0.004,2.7398217337793e-39,"9","CD247",0.201
4.29962995395987e-66,5.86365103416732,0.288,0.005,2.34295435451181e-61,"9","LCK",0.283
1.01282990187387e-35,5.84704309890969,0.153,0.003,5.51911270129109e-31,"9","SH2D1A",0.15
5.10092670664103e-57,5.82086513783711,0.242,0.006,2.77959698098283e-52,"9","PTPN7",0.236
4.78006065457956e-41,5.264588875918,0.19,0.004,2.60475065189349e-36,"10","FAM153B",0.186
6.70635392590755e-48,3.79567821618909,0.225,0.009,3.65442638130554e-43,"10","NCCRP1",0.216
4.77529878968794e-34,3.49463196297763,0.197,0.01,2.60215581647675e-29,"10","HLA-G",0.187
2.06066080339874e-139,3.22711584768443,0.751,0.109,1.12289528498804e-134,"10","RAMP3",0.642
3.08635708574309e-94,3.00621885536255,0.763,0.245,1.68181770316312e-89,"10","C10orf10",0.518
9.46133854784632e-49,2.94908998842468,0.324,0.041,5.15567260149241e-44,"10","HPGD",0.283
1.4154215571608e-23,2.91274689459762,0.176,0.02,7.71291514928064e-19,"10","NFASC",0.156
