"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.25514069738437e-11,0.916511875019589,0.525,0.331,6.83951268818691e-07,"9","HLA-F"
1.40334713261549e-11,0.697226094049305,0.632,0.483,7.64711919504832e-07,"9","ARPC1B"
1.63308973591685e-11,1.85963901556316,0.168,0.05,8.89903258895808e-07,"9","ORAI1"
1.75840987812939e-11,0.532944070463136,0.749,0.574,9.58192710790265e-07,"9","CD44"
2.60941473637812e-11,0.496280551236703,0.837,0.743,1.42192227814716e-06,"9","MYL12A"
2.69144740223161e-11,0.873944831037704,0.438,0.278,1.46662351842405e-06,"9","PRPF38B"
2.79259882821838e-11,0.377887048916409,0.943,0.895,1.52174295347276e-06,"9","UBA52"
3.05226842309287e-11,1.26046483526082,0.235,0.1,1.66324210911177e-06,"9","PDE4B"
3.11206849703448e-11,1.49319685346576,0.144,0.057,1.69582836540403e-06,"9","NLRC5"
3.4098123281944e-11,1.58426106200805,0.129,0.044,1.8580749338797e-06,"9","HLA-DMA"
3.5939110655597e-11,1.45478296759434,0.198,0.08,1.95839401784479e-06,"9","CDK2AP2"
3.73444747417695e-11,0.340500462661133,0.95,0.92,2.0349751176285e-06,"9","RPS20"
3.92313569715256e-11,1.43267354241432,0.259,0.119,2.13779510409237e-06,"9","CNOT6L"
4.21462427885013e-11,1.33882897481126,0.227,0.099,2.29663306203101e-06,"9","SYNRG"
4.36528159538269e-11,1.37894873196929,0.275,0.131,2.37872924695593e-06,"9","PBXIP1"
5.79472610393975e-11,0.935233403210554,0.283,0.136,3.15766214855885e-06,"9","FABP5"
6.49265074045129e-11,1.20046506066849,0.163,0.058,3.53797524148672e-06,"9","PSMD5-AS1"
8.78992712076484e-11,1.0893180450676,0.29,0.145,4.78980708664718e-06,"9","BATF"
1.03034891966959e-10,0.446709111132753,0.529,0.372,5.61457733306355e-06,"9","SLC2A3"
1.26818373616004e-10,1.83360238966124,0.135,0.041,6.91058681508329e-06,"9","CASP8"
1.40844481677053e-10,1.57886506224877,0.144,0.049,7.67489749554597e-06,"9","GRK6"
1.4142099203739e-10,0.980854615271539,0.455,0.277,7.70631269810145e-06,"9","IDS"
1.42245712911981e-10,0.635935214861723,0.569,0.404,7.75125338799964e-06,"9","KMT2E"
