"target","sample","measure","value"
"Plasma.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.R2",10.9461535196696
"Plasma.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.RMSE",0.637017808944239
"Plasma.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.R2",0.569115836404107
"Plasma.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","gain.RMSE",-20.3014170858977
"Plasma.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","gain.R2",-1.9640349012071
"T.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.RMSE",0.00753217129326636
"T.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","intra.R2",9.86431852140855
"T.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.RMSE",0.00753449892481026
"T.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","multi.R2",11.6714912758454
"T.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.RMSE",0.500406825428742
"T.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","p.R2",0.357302533281641
"T.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","gain.RMSE",-0.030902530668431
"T.cells","G:/1a空转rperio/GSM6258257/MISTy_PD_RCTD_refinedFib_ECM_full","gain.R2",1.80717275443685
