"gene_name","module","kME"
"CBX6","Fibroblasts6",0.320647997894737
"TNRC6B","Fibroblasts6",0.302105008554186
"AMFR","Fibroblasts6",0.285183939121742
"PHKG1","Fibroblasts6",0.27371366573645
"SAR1A","Fibroblasts6",0.267576294979907
"APOL2","Fibroblasts6",0.261496564559802
"TFAP2C","Fibroblasts6",0.255254310055406
"SEC22B","Fibroblasts6",0.253605235295621
"TRA2A","Fibroblasts6",0.253323080614631
"RNF152","Fibroblasts6",0.244749545783905
"DOCK5","Fibroblasts6",0.244215753538275
"HBA2","Fibroblasts6",0.24409628941244
"SUMF2","Fibroblasts6",0.243393765061711
"RBM6","Fibroblasts6",0.24328946954904
"TRPS1","Fibroblasts6",0.236084500405931
"PAQR7","Fibroblasts6",0.234717745403621
"HBB","Fibroblasts6",0.230677412723319
"GIGYF1","Fibroblasts6",0.227289937146747
"CD47","Fibroblasts6",0.222019162400032
"APOBEC3C","Fibroblasts6",0.217073032808444
"INSR","Fibroblasts6",0.211077670381771
"IRF2BPL","Fibroblasts6",0.205714836553202
"PTEN","Fibroblasts6",0.201572083455967
"RQCD1","Fibroblasts6",0.196992614549468
"CTC-425F1.4","Fibroblasts6",0.195528722984654
"SRSF6","Fibroblasts6",0.193751091966235
"ADAM17","Fibroblasts6",0.192029430547959
"HBA1","Fibroblasts6",0.191125217850564
"ANKRD40","Fibroblasts6",0.189273280156083
"RASGEF1B","Fibroblasts6",0.188508806094811
"RPS10","Fibroblasts6",0.185499068598558
"XYLT2","Fibroblasts6",0.183156579971496
"AFMID","Fibroblasts6",0.180064121640118
"STRN3","Fibroblasts6",0.176106911127768
"FAM76A","Fibroblasts6",0.175179544356701
"R3HDM2","Fibroblasts6",0.172306674737712
"RAB12","Fibroblasts6",0.170187466743278
"MAP1B","Fibroblasts6",0.168691396810446
"FLCN","Fibroblasts6",0.164687290673147
"RP11-294J22.6","Fibroblasts6",0.159448849257738
"SPRR2D","Fibroblasts6",0.154350153632214
"ADNP","Fibroblasts6",0.14739917362915
"C6orf62","Fibroblasts6",0.14580295653675
"MARCH6","Fibroblasts6",0.144085611956701
"MTA2","Fibroblasts6",0.143961699668412
"LRRC16A","Fibroblasts6",0.142708397459528
"SPRR1B","Fibroblasts6",0.142428165845181
"RSRC1","Fibroblasts6",0.140866047988548
"SPRR3","Fibroblasts6",0.137746092358732
"CDC42SE2","Fibroblasts6",0.137252521516382
"ZFX","Fibroblasts6",0.129027639564942
"ZC3H4","Fibroblasts6",0.125113720835321
"DCUN1D1","Fibroblasts6",0.123511039281529
"NDUFV3","Fibroblasts6",0.123006872242528
"ZNF557","Fibroblasts6",0.120148850580777
"IGDCC4","Fibroblasts6",0.119217331761656
"THAP5","Fibroblasts6",0.117186604659511
"SRGAP2B","Fibroblasts6",0.116360615174586
"ANP32E","Fibroblasts6",0.114889566836258
"TMEM159","Fibroblasts6",0.114881982008377
"TPSB2","Fibroblasts6",0.112730709989761
"DDX6","Fibroblasts6",0.111328971288448
"REEP3","Fibroblasts6",0.110502269602058
"DYNC1I2","Fibroblasts6",0.110484195330589
"SPATS2L","Fibroblasts6",0.109672252949269
"RAP1B","Fibroblasts6",0.109284131735893
"LPIN3","Fibroblasts6",0.105349119278592
"SEC62","Fibroblasts6",0.104489898945669
"TLK1","Fibroblasts6",0.104033019641588
"RNF2","Fibroblasts6",0.103818758159639
"SDC2","Fibroblasts6",0.101320019809536
"CBX3","Fibroblasts6",0.100737783791812
"NMT1","Fibroblasts6",0.0997866367353209
"SYNC","Fibroblasts6",0.0981284235874268
"DCAKD","Fibroblasts6",0.097068483062382
"PRMT2","Fibroblasts6",0.0961114776403919
